"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SASH1",986.715091265573,-0.806640671420111,0.143141226030892,-5.63527848536119,1.74775669255613e-08,5.36693347069435e-08
"ATG101",1060.01255435386,0.792976300496779,0.140803944681447,5.63177617140483,1.7836307320884e-08,5.47618857000695e-08
"ZNF727",5.89747449270651,-2.34350734399844,0.416172133345164,-5.63110106667039,1.79062752631516e-08,5.49676190733829e-08
"RPUSD2",517.134012687995,0.526113453220347,0.0934631168151532,5.62910237907931,1.81149856640974e-08,5.55991174340067e-08
"MSRB1",1394.10524479989,0.809960680680967,0.14389383160282,5.62887701063271,1.813866714583e-08,5.56626040366416e-08
"MRPL24",2696.42930091033,0.713187393941876,0.126702843588079,5.62881916257939,1.81447506058794e-08,5.56720750750263e-08
"PPP2R2B",114.823397109781,-2.11090604793438,0.37502379160519,-5.6287256840405,1.81545852532742e-08,5.56930505498875e-08
"TARBP1",1599.68960188284,0.865888450339334,0.153851660757832,5.62807347073277,1.82233472015973e-08,5.58947612730631e-08
"ADAMTS15",1115.3863223155,1.66352779876678,0.295607121633175,5.62749567593667,1.82844745160673e-08,5.6072992262828e-08
"ARSF",5.81478346386787,2.90714386308679,0.516622734641436,5.62720853758885,1.83149260872535e-08,5.61571066475295e-08
"COMMD7",1766.62249767083,0.549015143252061,0.0975897065452122,5.62574847991482,1.84705314288789e-08,5.66248756051206e-08
"AMOTL1",1442.45117924259,-0.869669324497533,0.154632034062285,-5.62412135215936,1.86454547664194e-08,5.71517033475645e-08
"HYAL1",139.902607743692,-1.31571621015126,0.233956484808394,-5.62376465533243,1.86840156394267e-08,5.72604505036053e-08
"AC114296.1",4.4842975458485,2.79398535901567,0.496827114234665,5.62365716154533,1.86956514804803e-08,5.72866588996902e-08
"EGFL6",432.396413257916,1.72840891991414,0.307383301132873,5.62297598322361,1.87695504796876e-08,5.75036120996531e-08
"NCF1",80.4315366552593,1.44758701765276,0.257445522324012,5.62288675516708,1.87792515493062e-08,5.75238452388462e-08
"TRAPPC6A",1183.18828345958,0.917694001220983,0.16321323495219,5.62266902858585,1.88029436980395e-08,5.75869215484062e-08
"NOTCH2",3209.37314877117,-0.739730974852754,0.131568402701152,-5.62240598552372,1.88316057219409e-08,5.76651955629825e-08
"LRRC14B",9.90786386905517,1.99262898715286,0.35451140941095,5.62077533827126,1.90102352728236e-08,5.82025910981866e-08
"TFDP3",1.77414143720854,3.12628037393445,0.55620579963304,5.6207259543087,1.90156706342677e-08,5.82096377771132e-08
"MX1",4739.32313699924,1.51275063751649,0.269144606370869,5.62058685817391,1.90309881244209e-08,5.82469277329244e-08
"MIIP",1452.08976224142,0.716483532550752,0.127495513322132,5.61967644100912,1.91315409582962e-08,5.85450367875373e-08
"NDUFA11",3046.79008391476,0.987971844227034,0.175808665453946,5.61958559708104,1.91416026546976e-08,5.85661784402912e-08
